Company Name,Sector,Market Share (%),Stock Price ($),Revenue (M$),Profit Margin (%),VC Funding (M$),Mergers & Acquisitions,Growth Rate (%)
QuantumLeap,Cybersecurity,2.47,684.98,22408.12,-1.43,227.7,4,3.52
CloudX,Cybersecurity,18.5,1366.21,9113.48,17.52,468.33,6,15.25
EcomNext,FinTech,20.48,1138.92,19661.52,-8.6,145.23,0,5.21
QuantumLeap,E-Commerce,17.79,576.43,38951.45,19.18,154.49,8,19.08
EcomNext,E-Commerce,2.88,260.83,14175.43,4.29,65.1,8,9.38
InnoSoft,Artificial Intelligence,32.61,285.25,42831.26,11.22,89.59,7,1.78
AI Ventures,E-Commerce,9.99,1095.25,1095.83,-5.74,445.64,8,18.81
AI Ventures,Cybersecurity,16.27,1061.6,29963.78,3.22,184.31,9,4.64
CloudX,Cloud Computing,30.02,1023.51,15135.99,19.14,335.05,9,5.64
AI Ventures,Cybersecurity,5.24,578.06,1561.84,4.91,68.32,1,3.04
InnoSoft,E-Commerce,35.57,148.59,15510.53,-6.89,136.07,5,10.25
TechCorp,Cloud Computing,24.28,488.72,23009.75,15.39,216.21,4,15.87
EcomNext,FinTech,24.8,552.19,11817.33,15.98,442.87,3,4.3
AI Ventures,Cybersecurity,37.08,734.21,7589.02,22.63,208.36,9,13.06
TechCorp,Artificial Intelligence,17.85,777.87,18618.51,-4.81,445.48,1,18.54
TechCorp,Cloud Computing,38.25,147.75,41756.29,14.98,346.5,4,15.98
InnoSoft,Cloud Computing,1.2,563.32,10228.74,-4.09,236.27,10,3.18
TechCorp,Cybersecurity,14.28,743.69,38548.22,3.7,158.98,5,5.63
QuantumLeap,FinTech,18.55,1083.14,9575.04,-5.6,287.8,8,18.7
EcomNext,Artificial Intelligence,32.34,321.48,49754.79,2.59,458.77,7,7.58
CloudX,Cloud Computing,34.97,491.29,33595.1,-8.42,148.57,3,7.08
InnoSoft,Artificial Intelligence,39.19,574.2,21441.05,1.96,214.96,5,2.8
QuantumLeap,Cloud Computing,10.45,745.46,10582.1,-7.79,169.56,7,18.08
QuantumLeap,Cloud Computing,15.16,766.22,29628.42,-0.27,61.51,3,14.47
CloudX,Cybersecurity,13.19,935.19,7614.14,23.16,458.12,8,5.83
EcomNext,E-Commerce,10.52,973.75,31188.52,22.11,7.23,4,18.87
AI Ventures,Cloud Computing,31.82,1227.01,4473.44,15.46,459.34,9,11.47
TechCorp,FinTech,16.99,1083.79,6664.03,-7.25,182.77,4,7.62
QuantumLeap,Cybersecurity,7.83,102.59,44103.31,-4.32,478.4,3,5.31
QuantumLeap,Cloud Computing,7.73,951.49,33455.38,19.83,379.06,8,5.55
TechCorp,E-Commerce,2.69,564.22,34339.89,23.61,426.45,8,2.78
CloudX,Cybersecurity,28.22,698.59,11430.08,3.65,498.73,6,15.38
TechCorp,Artificial Intelligence,32.39,616.68,19183.1,25.28,100.63,6,4.97
TechCorp,Cybersecurity,34.37,1318.5,18972.23,17.33,425.13,2,18.92
QuantumLeap,E-Commerce,31.25,349.28,16346.76,0.96,351.35,3,5.93
AI Ventures,Cybersecurity,32.2,845.46,37344.23,16.07,207.47,4,6.77
InnoSoft,Artificial Intelligence,32.25,953.11,9093.41,23.56,364.78,8,7.68
AI Ventures,Cybersecurity,23.59,929.3,4759.11,-4.93,122.07,0,3.57
AI Ventures,E-Commerce,30.7,671.66,40264.38,10.01,120.71,9,3.33
CloudX,E-Commerce,27.52,147.49,24466.21,10.8,286.83,3,17.3
AI Ventures,Cybersecurity,15.09,482.17,31167.88,2.96,298.04,2,3.92
TechCorp,Artificial Intelligence,38.65,1261.13,8645.72,3.07,49.53,6,19.54
EcomNext,Cybersecurity,19.03,1062.02,38801.0,-3.64,69.63,8,10.23
AI Ventures,E-Commerce,6.43,1288.86,7886.45,1.06,248.6,9,3.42
InnoSoft,Cloud Computing,37.02,1266.16,447.62,-4.78,394.73,4,13.44
TechCorp,Artificial Intelligence,3.45,253.95,14673.7,12.32,341.77,5,10.92
CloudX,Cloud Computing,28.25,1199.64,3956.25,17.57,299.84,1,12.0
TechCorp,Artificial Intelligence,13.91,220.75,32765.86,-8.07,175.41,7,19.5
CloudX,FinTech,5.94,89.81,36070.81,-9.77,248.18,3,10.91
AI Ventures,Cybersecurity,10.18,813.17,42615.1,-0.44,295.17,3,15.01
InnoSoft,E-Commerce,29.23,654.33,28785.22,-0.34,367.88,7,13.8
CloudX,Cybersecurity,26.63,1045.17,38365.63,28.89,116.21,6,15.87
EcomNext,Cloud Computing,15.19,422.57,21752.63,29.12,77.39,6,3.41
EcomNext,Cloud Computing,13.6,331.59,141.69,28.19,144.64,5,12.24
CloudX,Artificial Intelligence,38.97,1346.84,14605.9,-3.34,407.4,2,1.69
InnoSoft,Cybersecurity,14.56,502.53,19550.88,15.16,3.26,9,19.57
QuantumLeap,Artificial Intelligence,13.81,525.0,41973.2,1.91,159.03,1,15.97
TechCorp,Artificial Intelligence,23.94,256.01,2080.32,23.93,78.64,4,3.83
CloudX,Artificial Intelligence,31.45,822.29,5805.96,24.93,108.06,4,10.74
InnoSoft,Artificial Intelligence,15.52,806.88,29008.11,-8.79,455.75,0,16.68
QuantumLeap,Artificial Intelligence,19.88,806.14,45371.56,1.53,402.09,5,5.35
EcomNext,Cloud Computing,32.13,752.85,9363.98,12.81,471.47,7,2.58
QuantumLeap,FinTech,32.16,964.85,27676.91,-2.89,143.47,1,11.76
InnoSoft,E-Commerce,6.65,263.8,19802.3,-7.88,8.15,2,18.74
TechCorp,Cloud Computing,10.5,303.95,32908.91,27.69,232.58,6,8.43
EcomNext,Cloud Computing,5.48,680.0,27813.2,-1.86,371.33,8,11.7
TechCorp,Cybersecurity,9.66,587.69,46127.11,14.16,496.29,5,7.05
AI Ventures,FinTech,28.97,699.44,39283.87,-2.72,272.41,4,12.99
EcomNext,Cybersecurity,13.78,806.71,17393.94,6.37,133.27,1,3.28
InnoSoft,Artificial Intelligence,34.71,646.98,41802.28,7.02,491.34,6,2.27
TechCorp,Artificial Intelligence,19.71,179.64,47975.38,-3.34,273.86,2,9.0
TechCorp,Cloud Computing,26.13,1260.46,3486.27,6.58,86.04,0,9.1
InnoSoft,Cybersecurity,12.9,1292.1,11782.89,-7.75,286.12,1,8.29
EcomNext,E-Commerce,18.33,1068.91,11443.21,-8.6,214.45,10,11.21
EcomNext,E-Commerce,18.31,783.4,39000.78,2.04,332.56,1,16.34
TechCorp,FinTech,32.12,1105.99,18727.03,21.06,1.98,9,8.18
QuantumLeap,Artificial Intelligence,16.08,1241.3,32386.27,-7.23,340.04,1,14.12
InnoSoft,Cloud Computing,13.8,489.85,4397.53,-4.35,219.51,0,7.55
AI Ventures,FinTech,34.08,56.72,30976.19,4.23,287.76,7,3.03
QuantumLeap,FinTech,30.73,640.56,10928.48,25.2,392.57,9,16.15
AI Ventures,Cybersecurity,23.95,174.46,23626.46,-0.43,18.96,4,7.71
QuantumLeap,Cloud Computing,2.7,893.79,44891.6,23.36,449.98,1,15.66
EcomNext,FinTech,28.05,575.25,28837.86,23.05,302.64,6,18.81
InnoSoft,Cloud Computing,22.72,1268.04,21014.6,0.52,202.41,4,17.81
CloudX,Artificial Intelligence,6.0,278.71,14850.83,27.79,364.01,4,14.04
CloudX,E-Commerce,13.95,1271.05,19411.2,2.57,414.01,0,11.47
AI Ventures,E-Commerce,22.44,166.69,11314.55,12.15,498.75,0,14.53
QuantumLeap,Cloud Computing,8.04,258.26,39583.87,24.97,242.76,10,14.46
EcomNext,Cybersecurity,31.81,1354.14,6592.58,5.12,144.55,0,17.35
TechCorp,Cybersecurity,17.39,805.54,22045.73,25.93,422.0,9,5.3
CloudX,Cloud Computing,13.9,948.3,26953.61,25.93,7.64,10,1.99
CloudX,Artificial Intelligence,12.94,1341.5,30099.59,-3.26,316.87,0,15.76
CloudX,FinTech,15.2,375.65,33853.51,-6.6,99.93,10,16.22
CloudX,Artificial Intelligence,32.55,479.58,46819.81,3.54,291.02,5,17.66
TechCorp,Artificial Intelligence,7.64,151.93,48298.49,18.07,214.44,8,9.89
CloudX,FinTech,10.26,1125.37,21620.11,-4.05,460.26,1,17.73
TechCorp,Cybersecurity,33.65,1355.64,33594.38,17.73,295.36,10,10.37
QuantumLeap,E-Commerce,20.46,732.84,20509.33,13.03,308.87,9,16.97
TechCorp,FinTech,18.6,86.11,40068.76,6.01,49.43,4,4.45
TechCorp,E-Commerce,22.46,584.16,42422.11,-6.98,451.78,4,9.23
EcomNext,Artificial Intelligence,5.85,1282.4,33112.03,27.97,110.6,3,18.44
InnoSoft,Cloud Computing,8.91,230.44,39143.23,27.16,331.43,0,13.03
InnoSoft,FinTech,9.9,1097.7,49340.4,13.98,442.68,8,12.97
InnoSoft,FinTech,11.76,713.75,31563.0,17.53,65.33,5,5.68
InnoSoft,Artificial Intelligence,37.14,375.07,6932.89,29.53,251.38,9,19.85
InnoSoft,E-Commerce,12.16,703.77,31625.53,24.48,339.03,8,4.55
CloudX,Artificial Intelligence,2.78,918.73,43087.67,15.52,221.62,5,12.45
TechCorp,Cybersecurity,3.15,1278.38,1085.13,18.93,2.96,4,15.09
CloudX,Artificial Intelligence,26.02,1066.06,17175.26,-4.05,261.63,5,2.29
CloudX,Cloud Computing,22.56,1083.82,10487.8,12.84,204.7,10,15.6
EcomNext,Artificial Intelligence,36.53,620.43,24143.41,19.4,458.68,4,6.16
AI Ventures,FinTech,35.26,167.27,1834.53,5.68,9.23,5,3.01
EcomNext,Cybersecurity,3.98,1457.63,40804.42,-7.74,102.61,6,8.24
EcomNext,Artificial Intelligence,4.44,79.0,2110.6,8.68,405.74,7,8.58
AI Ventures,Cybersecurity,18.65,409.95,27233.66,6.69,272.56,2,14.42
TechCorp,E-Commerce,22.35,437.42,9497.13,10.14,374.54,10,15.99
QuantumLeap,Cybersecurity,31.27,305.25,21481.8,25.41,14.97,1,18.03
CloudX,E-Commerce,20.21,1448.3,19242.7,2.76,463.15,4,5.12
TechCorp,FinTech,11.36,1283.06,7807.7,23.29,255.28,8,19.35
InnoSoft,Cloud Computing,2.38,1474.94,46380.74,21.98,353.49,10,19.64
QuantumLeap,Cybersecurity,10.49,490.23,22775.89,17.87,259.12,4,4.45
EcomNext,FinTech,10.93,1295.69,33029.45,8.17,146.34,3,9.81
CloudX,E-Commerce,25.39,254.91,42744.64,10.0,130.76,2,6.86
TechCorp,FinTech,32.68,304.66,21425.32,7.99,20.61,7,6.75
EcomNext,E-Commerce,17.1,637.86,37859.43,9.04,141.11,2,1.77
AI Ventures,Artificial Intelligence,2.01,268.93,15434.99,18.88,158.45,5,6.2
EcomNext,FinTech,10.12,416.74,42791.7,-0.55,26.78,1,13.81
QuantumLeap,Cybersecurity,30.82,119.55,1855.69,27.5,35.65,8,18.8
EcomNext,Cloud Computing,3.34,748.26,285.16,-2.46,404.48,4,16.77
EcomNext,Artificial Intelligence,29.9,1002.32,18351.42,21.16,234.2,7,11.36
CloudX,Artificial Intelligence,39.79,569.16,37334.61,17.67,142.25,7,12.81
TechCorp,E-Commerce,4.25,508.71,42922.88,15.51,424.26,3,4.1
TechCorp,Cloud Computing,9.61,1255.08,14024.22,7.56,302.98,7,11.01
InnoSoft,Cloud Computing,15.62,1425.42,46513.34,28.85,448.48,1,15.13
InnoSoft,Cybersecurity,33.43,737.35,38916.61,2.01,150.82,10,6.28
EcomNext,E-Commerce,35.82,478.33,23630.86,9.68,276.55,4,9.93
InnoSoft,Cybersecurity,5.61,645.67,1789.07,19.3,227.33,10,8.05
AI Ventures,E-Commerce,36.39,388.72,36092.81,-2.02,362.41,2,15.11
EcomNext,Cybersecurity,9.7,659.84,7681.23,1.57,192.61,1,15.91
CloudX,Cloud Computing,1.18,638.94,26884.71,10.58,153.92,2,10.71
InnoSoft,E-Commerce,30.59,865.06,3583.09,24.71,165.93,6,1.15
QuantumLeap,Cloud Computing,28.11,1279.78,48905.28,22.75,347.79,7,11.42
InnoSoft,Artificial Intelligence,27.86,230.38,47012.58,26.47,162.46,8,6.58
AI Ventures,Cloud Computing,3.19,901.56,38286.37,11.08,35.56,0,18.6
EcomNext,FinTech,6.48,1142.06,27145.07,-8.27,358.39,6,14.77
InnoSoft,Artificial Intelligence,4.83,666.07,17268.76,8.83,243.76,8,19.86
InnoSoft,E-Commerce,1.32,904.38,33934.07,28.89,349.03,5,13.99
QuantumLeap,Cybersecurity,10.63,1326.65,20079.85,-3.43,382.31,5,8.12
InnoSoft,Cloud Computing,28.27,315.72,44166.42,-7.29,178.63,6,11.28
CloudX,Cybersecurity,14.15,895.67,45612.56,-3.95,291.66,2,8.78
AI Ventures,Cloud Computing,22.71,403.38,2157.72,-8.31,12.97,6,5.42
CloudX,FinTech,33.21,733.45,21635.52,23.69,200.77,4,5.74
CloudX,Cloud Computing,21.63,688.35,40375.39,4.74,37.04,9,16.0
QuantumLeap,Artificial Intelligence,17.29,1238.88,41230.55,-9.84,301.4,10,4.64
InnoSoft,FinTech,19.97,1049.0,49443.6,12.46,267.73,10,16.1
CloudX,FinTech,35.33,878.72,29481.83,1.27,1.29,10,17.63
InnoSoft,Artificial Intelligence,17.46,941.44,39072.99,-9.94,53.54,4,2.1
TechCorp,FinTech,22.08,1212.3,23819.58,22.54,194.45,0,11.93
AI Ventures,Artificial Intelligence,18.87,714.55,15816.47,-5.1,236.33,7,13.51
InnoSoft,Cloud Computing,18.93,1411.37,27065.81,-7.12,221.7,4,18.15
CloudX,Cloud Computing,32.52,268.19,19512.8,10.29,114.89,9,7.09
CloudX,Cybersecurity,19.37,894.45,47979.12,10.07,487.55,0,12.28
EcomNext,Artificial Intelligence,30.41,1143.19,15841.84,-7.23,352.54,2,15.2
EcomNext,Cloud Computing,29.55,632.65,9156.96,10.45,191.82,2,8.41
TechCorp,Cloud Computing,7.28,565.86,45985.88,15.59,406.76,3,16.85
CloudX,Cloud Computing,13.35,1036.17,25953.78,29.57,335.13,1,16.69
InnoSoft,Cybersecurity,37.74,765.61,37081.95,8.04,495.84,5,1.96
EcomNext,FinTech,13.36,225.94,21487.33,-6.11,292.33,5,8.63
AI Ventures,FinTech,10.72,1459.62,27460.1,2.37,34.91,0,12.04
AI Ventures,Cybersecurity,25.69,369.53,46543.42,7.14,92.58,3,10.53
EcomNext,E-Commerce,36.77,1395.91,13043.1,15.93,283.77,7,19.32
CloudX,Cybersecurity,21.41,703.23,39040.99,25.67,227.42,7,5.07
AI Ventures,Cloud Computing,21.92,1125.96,943.13,19.76,303.18,8,17.0
QuantumLeap,E-Commerce,1.02,413.91,29347.17,22.96,82.69,1,7.78
TechCorp,Cybersecurity,32.25,274.04,28096.1,15.33,333.17,1,6.04
QuantumLeap,E-Commerce,19.03,144.78,6134.69,29.2,443.66,1,4.43
InnoSoft,Artificial Intelligence,23.71,64.73,25725.38,-6.16,357.36,10,7.11
CloudX,E-Commerce,35.85,445.79,23422.69,12.94,435.18,0,16.31
TechCorp,FinTech,2.7,692.34,1196.75,-6.17,50.45,5,2.5
AI Ventures,E-Commerce,11.01,224.67,48501.12,0.29,415.94,6,5.29
TechCorp,Cloud Computing,24.73,286.47,11538.57,1.93,18.68,7,16.16
InnoSoft,E-Commerce,12.96,667.92,32633.17,14.39,327.96,3,12.42
TechCorp,FinTech,17.98,737.71,1485.76,29.75,172.94,6,1.74
InnoSoft,Artificial Intelligence,24.72,371.1,17099.68,27.7,97.97,5,15.74
EcomNext,E-Commerce,27.86,1367.82,44652.32,26.99,196.01,10,17.6
QuantumLeap,Artificial Intelligence,32.82,802.54,31153.19,14.19,117.15,0,4.13
TechCorp,Cloud Computing,1.66,986.65,3255.8,26.56,124.02,7,13.46
CloudX,E-Commerce,9.76,543.45,1358.1,2.61,50.05,2,7.29
QuantumLeap,Artificial Intelligence,21.18,716.35,872.43,-5.9,88.19,2,18.37
AI Ventures,FinTech,27.14,1431.73,21730.13,2.34,246.68,9,16.42
AI Ventures,Cloud Computing,32.69,1354.12,26625.03,19.21,360.79,1,19.48
EcomNext,E-Commerce,16.52,587.84,17108.38,-0.02,8.83,8,6.27
TechCorp,Cybersecurity,17.56,126.41,14931.55,4.98,393.2,6,13.36
EcomNext,Cybersecurity,27.43,1450.68,17388.99,-4.76,134.3,1,2.72
InnoSoft,E-Commerce,21.36,1032.02,1928.53,17.59,195.25,10,16.73
QuantumLeap,Cloud Computing,8.09,476.92,25016.6,26.27,374.72,3,9.29
QuantumLeap,Artificial Intelligence,19.99,811.91,20106.18,10.45,481.8,1,10.42
TechCorp,FinTech,10.2,607.49,1128.55,0.48,205.97,7,13.5
CloudX,Artificial Intelligence,2.28,58.75,20862.06,2.3,94.02,1,9.0
InnoSoft,Cybersecurity,31.33,602.71,38676.22,15.01,87.69,5,2.11
AI Ventures,Cybersecurity,7.33,1259.93,22076.78,-4.91,417.92,2,16.31
EcomNext,Artificial Intelligence,32.53,1095.04,43720.47,25.09,22.32,8,1.48
CloudX,Artificial Intelligence,4.18,1353.79,20858.12,21.15,78.05,10,2.67
EcomNext,E-Commerce,19.97,1035.14,47418.41,15.02,106.74,9,10.27
InnoSoft,FinTech,31.02,1368.82,10503.42,0.38,369.89,1,18.7
EcomNext,E-Commerce,5.99,1103.79,32221.43,28.65,493.23,1,13.04
CloudX,Cybersecurity,5.03,470.94,44021.69,26.19,176.87,1,10.52
CloudX,Cloud Computing,21.65,905.86,9138.06,-5.73,462.34,3,3.53
QuantumLeap,FinTech,10.3,1443.64,7579.26,23.37,452.55,9,4.51
AI Ventures,FinTech,27.31,1182.99,40059.86,19.03,43.77,9,12.06
EcomNext,Cloud Computing,23.5,206.23,10257.72,15.94,478.68,10,12.01
CloudX,Artificial Intelligence,23.42,1433.41,40722.15,24.66,86.12,7,14.01
EcomNext,Artificial Intelligence,32.79,232.38,37357.14,13.08,370.77,7,5.73
QuantumLeap,Cybersecurity,25.05,1422.73,41659.26,10.13,339.34,1,5.12
TechCorp,E-Commerce,15.07,584.7,11823.22,22.91,277.7,6,8.89
AI Ventures,Cybersecurity,23.6,745.59,23638.29,28.72,349.46,7,1.29
QuantumLeap,Artificial Intelligence,23.66,1141.86,16110.93,15.26,349.34,9,15.76
InnoSoft,Cybersecurity,24.25,905.44,46399.68,21.28,444.72,2,17.2
EcomNext,Artificial Intelligence,7.76,489.62,10738.75,20.67,445.52,7,9.99
CloudX,Cloud Computing,30.39,752.02,29720.78,24.91,236.29,2,18.64
InnoSoft,Cloud Computing,37.85,333.85,48826.21,28.01,57.01,8,10.25
QuantumLeap,E-Commerce,37.14,1004.31,32737.25,7.1,176.0,1,17.33
CloudX,FinTech,12.22,1051.68,6842.43,4.49,271.85,3,12.69
InnoSoft,FinTech,26.24,1480.65,41958.93,2.34,44.5,7,14.98
TechCorp,FinTech,14.93,1176.52,10845.12,10.16,18.87,9,3.74
QuantumLeap,FinTech,38.98,669.24,10444.99,22.69,8.13,1,2.63
TechCorp,Cybersecurity,8.44,677.54,46089.12,11.44,19.01,8,3.42
EcomNext,Artificial Intelligence,13.81,110.62,46629.38,-5.93,484.99,2,2.66
QuantumLeap,Artificial Intelligence,26.09,971.51,21558.56,24.66,490.21,1,4.72
TechCorp,FinTech,14.82,127.59,26962.54,16.25,412.08,1,4.6
CloudX,E-Commerce,18.8,1294.84,47714.98,28.16,211.86,4,19.04
TechCorp,Cloud Computing,8.07,498.42,10511.33,3.5,342.27,3,19.76
EcomNext,Cloud Computing,4.38,974.06,37676.76,-7.9,469.63,6,5.57
AI Ventures,Cloud Computing,35.16,200.56,33878.36,3.38,203.08,0,10.04
TechCorp,Cybersecurity,3.19,138.56,5962.27,23.13,31.67,3,7.52
TechCorp,Cloud Computing,32.76,1281.57,4625.79,4.85,344.7,8,17.26
AI Ventures,Artificial Intelligence,15.85,1287.17,6732.05,23.4,99.47,5,13.25
TechCorp,Artificial Intelligence,36.69,737.1,10091.13,-8.48,3.3,4,12.71
TechCorp,Cloud Computing,23.0,512.56,41326.63,27.66,463.43,4,12.38
QuantumLeap,Cloud Computing,20.14,1126.4,4142.04,15.38,188.75,1,8.49
QuantumLeap,Cloud Computing,28.62,51.95,33929.05,-8.56,406.67,3,10.88
EcomNext,Cybersecurity,13.77,77.81,9410.9,6.11,496.65,4,11.5
QuantumLeap,Cloud Computing,36.31,1416.65,25848.73,5.78,99.98,8,19.48
CloudX,Artificial Intelligence,36.03,1007.07,4493.86,-5.89,362.03,3,13.4
TechCorp,Artificial Intelligence,8.28,1488.66,44146.2,-6.73,437.17,4,19.2
CloudX,E-Commerce,26.85,268.0,38967.58,-8.7,276.52,0,6.76
CloudX,FinTech,2.73,524.58,38079.05,4.44,54.42,1,4.16
TechCorp,E-Commerce,22.6,1311.53,48033.33,12.55,51.56,4,10.43
QuantumLeap,Cloud Computing,25.22,1383.77,11209.25,-9.09,266.57,4,6.18
EcomNext,E-Commerce,18.88,712.96,31478.06,22.87,338.24,8,19.94
QuantumLeap,E-Commerce,3.46,1200.22,46677.45,-9.46,213.22,0,4.78
CloudX,Cloud Computing,37.18,308.54,8309.99,27.18,226.09,10,6.94
QuantumLeap,FinTech,23.91,1103.07,48512.5,20.41,150.16,3,9.62
AI Ventures,Cybersecurity,22.24,1359.15,1632.65,-8.98,253.68,0,13.76
InnoSoft,FinTech,36.28,981.33,26666.96,9.93,264.43,5,3.48
InnoSoft,Cloud Computing,24.12,668.79,33770.34,-8.31,357.34,0,19.64
InnoSoft,Cloud Computing,28.44,1109.49,36533.1,18.95,269.35,8,18.35
InnoSoft,Cybersecurity,33.54,1060.82,1035.45,22.05,309.87,5,14.01
AI Ventures,Cloud Computing,26.16,374.25,19434.78,15.17,438.42,6,1.9
TechCorp,FinTech,28.4,1490.64,8526.66,19.58,204.75,2,7.77
CloudX,Cloud Computing,26.03,1175.8,6435.98,-6.01,258.66,2,3.53
CloudX,Artificial Intelligence,20.44,594.8,35166.93,1.82,442.94,1,10.77
CloudX,Artificial Intelligence,1.63,883.03,40519.02,21.65,338.27,4,14.99
QuantumLeap,E-Commerce,21.66,658.68,1321.89,29.69,434.54,3,11.53
CloudX,E-Commerce,12.48,1480.49,34946.91,-3.05,144.11,9,1.6
InnoSoft,Artificial Intelligence,22.43,89.36,12725.29,24.55,319.08,5,3.71
AI Ventures,Artificial Intelligence,8.59,903.97,37696.71,-9.13,70.54,7,17.05
AI Ventures,E-Commerce,32.03,172.73,16384.36,21.01,6.61,6,8.5
AI Ventures,E-Commerce,36.44,189.71,6821.99,26.78,369.78,6,11.59
EcomNext,FinTech,38.36,1335.66,42613.96,-4.48,188.01,2,5.48
CloudX,Cloud Computing,21.04,549.19,40164.39,6.42,20.77,8,12.97
AI Ventures,E-Commerce,7.33,1182.68,26373.22,2.83,387.99,1,11.97
InnoSoft,FinTech,3.81,1178.96,22923.94,-6.04,275.43,4,11.69
CloudX,Artificial Intelligence,1.63,581.94,16334.34,8.99,434.99,7,6.36
TechCorp,Cloud Computing,39.44,331.91,20372.8,12.46,306.64,6,6.69
InnoSoft,Cybersecurity,26.52,892.42,45253.94,12.78,467.42,2,7.99
EcomNext,Artificial Intelligence,4.9,601.13,48591.32,19.53,43.29,7,17.7
EcomNext,FinTech,12.58,589.55,9488.24,-4.93,71.34,2,10.33
TechCorp,Artificial Intelligence,10.3,1191.4,9213.34,6.54,56.12,8,11.54
EcomNext,FinTech,17.51,592.51,43988.85,-8.54,144.68,4,6.8
AI Ventures,FinTech,23.34,439.63,33594.45,-3.57,325.56,1,1.7
QuantumLeap,FinTech,24.83,825.67,13885.73,8.05,176.5,7,15.5
EcomNext,Cybersecurity,26.69,1462.53,7366.18,2.14,446.55,3,16.56
CloudX,Cybersecurity,36.66,700.2,43201.27,-4.92,261.96,9,14.41
AI Ventures,Cloud Computing,8.4,1291.51,8364.45,19.24,484.06,5,19.95
TechCorp,E-Commerce,23.13,1111.99,1023.0,14.84,362.65,5,14.67
InnoSoft,Cybersecurity,28.54,1215.96,13585.2,21.3,430.91,5,16.18
EcomNext,Cybersecurity,32.36,101.89,46017.8,-2.49,382.92,5,19.3
CloudX,Cloud Computing,3.2,1180.91,28534.56,-3.19,42.97,0,10.63
TechCorp,E-Commerce,15.2,1120.44,29539.06,8.62,293.46,3,10.82
EcomNext,Cybersecurity,31.07,820.63,19874.5,-5.89,292.39,3,16.53
QuantumLeap,Cybersecurity,7.04,913.51,8417.18,17.42,453.03,2,1.84
QuantumLeap,E-Commerce,20.1,430.0,4500.57,23.34,19.82,8,11.86
QuantumLeap,Cloud Computing,31.83,577.4,43200.84,11.53,466.54,8,17.64
QuantumLeap,Cloud Computing,31.97,638.39,20506.39,8.33,390.37,1,15.96
TechCorp,E-Commerce,25.74,1203.29,47096.89,-6.92,285.59,8,10.56
AI Ventures,FinTech,22.72,427.04,26485.22,3.99,230.9,2,2.87
EcomNext,E-Commerce,5.92,949.22,25447.55,-1.41,359.74,9,3.95
EcomNext,FinTech,21.61,395.7,33157.65,14.64,342.29,8,10.66
QuantumLeap,Cybersecurity,5.5,594.61,20921.8,21.52,335.17,3,15.39
QuantumLeap,Artificial Intelligence,17.6,394.27,20849.77,5.69,148.72,3,10.71
QuantumLeap,Cloud Computing,6.55,1028.58,31754.24,2.39,453.72,0,15.6
EcomNext,FinTech,3.34,1071.47,48393.65,21.84,8.04,2,3.68
AI Ventures,E-Commerce,15.8,747.22,49125.68,27.04,74.1,9,15.36
AI Ventures,Cybersecurity,4.52,916.8,23299.99,10.26,15.66,4,1.01
CloudX,Artificial Intelligence,33.08,1282.38,47776.06,18.37,393.31,9,5.53
InnoSoft,Cybersecurity,39.61,427.42,32699.57,21.55,335.17,8,8.73
TechCorp,FinTech,38.8,543.21,14778.82,27.13,141.63,10,18.32
QuantumLeap,Cloud Computing,26.79,311.6,29424.17,-5.46,296.59,1,17.35
EcomNext,Artificial Intelligence,20.58,699.99,32288.23,8.95,357.14,5,17.97
TechCorp,Artificial Intelligence,36.43,467.75,17007.09,-4.08,207.53,6,19.19
CloudX,Cloud Computing,4.56,121.42,24205.07,6.99,211.57,1,14.4
TechCorp,Cloud Computing,18.41,1246.27,22373.9,-1.92,357.88,2,7.99
QuantumLeap,Artificial Intelligence,29.25,1237.92,34202.34,-3.32,182.64,8,12.86
AI Ventures,Cloud Computing,10.43,967.82,35943.03,12.47,3.84,9,14.31
TechCorp,E-Commerce,16.28,766.58,24845.83,-4.46,416.09,9,1.94
EcomNext,Cybersecurity,30.42,1031.59,9305.22,13.19,450.12,5,17.04
QuantumLeap,E-Commerce,12.55,1460.41,4588.06,8.28,274.11,0,2.99
QuantumLeap,Cloud Computing,29.24,758.61,23239.78,7.72,113.48,9,3.97
CloudX,Artificial Intelligence,35.5,1265.17,31076.12,17.72,378.57,9,4.97
EcomNext,FinTech,3.73,928.77,731.74,15.43,94.45,3,6.74
InnoSoft,Cybersecurity,38.52,969.39,36441.31,3.66,377.71,6,4.25
EcomNext,FinTech,26.48,1181.3,372.63,16.36,404.11,3,9.62
EcomNext,E-Commerce,33.21,522.33,35826.87,4.08,3.63,8,7.7
CloudX,Cloud Computing,35.37,250.15,15924.75,8.09,476.77,6,13.58
InnoSoft,E-Commerce,39.47,676.82,6765.64,8.86,83.88,8,19.97
CloudX,FinTech,21.11,689.31,12453.03,21.4,363.63,6,12.98
EcomNext,E-Commerce,30.39,428.69,34120.52,13.81,104.1,5,3.5
CloudX,Cloud Computing,5.92,1435.72,19396.52,1.57,94.42,10,4.59
CloudX,Artificial Intelligence,26.57,330.7,4994.93,-4.66,173.08,3,7.34
TechCorp,Cloud Computing,37.63,667.0,38834.67,11.05,448.92,4,12.83
AI Ventures,FinTech,12.01,202.43,13743.25,20.61,386.86,2,11.86
InnoSoft,Cybersecurity,20.91,302.59,1858.59,19.1,397.51,6,5.98
